professor_name,review_text
Barry Levine,"Get ready to learn nothing and struggle a lot. The projects instructions are so obscure, expect to get marked down for his inability to write good documents. He just reads from his written book in class. I think you should stay away from prof that writes their own book. They think they are hot stuff or something but they only read from this book."
Barry Levine,"One of the harder classes I have taken, but it was super rewarding. This class easily was one of the most homework intensive ones I took."
Barry Levine,"This guy barely teaches at all. All he does in class is &quot;Read the book, chapter xxx and the reader, chapter xxx.&quot; He even combines two sections of class into one big class with more than 100 students. Worst professor ever."
Barry Levine,"The class was an awful experience. His lectures consists of him reading word for word from his laptop which is displayed on the projector. The last few projects (labeled milestones), contained such little information on how to implement the code that it took many hours of using ctrl-f in his 300 page course reader to even get an idea."
Barry Levine,"Absolutely horrible. His projects make no sense & take hours, & he barely gives you a week to do each project. For exams theres a study guide of 70 questions but he doesn't provide any answers so you have to figure everything out on your own. He gives no partial credit on assignments/exams. Harsh grading & all he does is read off his computer."
Barry Levine,"Assignments are time consuming and demanding, especially the later ones, but definitely hold value. His lectures are a bit of a pain; he goes through his reader on the projector, summing it up as he goes, which is worse than just reading it yourself. He is passionate about what he does though (teaching and his OpenMRS work). He is super kind."
Barry Levine,Nice guy!
Barry Levine,"He's a knowledgeable teacher, but old fashioned and old schoolstyled."
Barry Levine,I don't think Prof Levine is as bad as people make him out to be. His projects were long and tedious but you definitely learn a lot from them. Levine also gives good advice on CS career related things. His main downside is he can be a brutal grader on the exam and gives little hints as to what will be on them. Exams are like 60% of your grade too.
Barry Levine,"Definitely has to be the worst experience I've ever had with a teacher. Contradictory assignment guidelines, extremely harsh on grading, material presented extremely unprofessional. Slides and code are all word format, no syntax highlighting (as is the reader). Makes attendance mandatory but goes on tangents constantly. Go for another teacher!"
Brian Parra,"2 homework assignments, 1 project, 1 final, and the class assignments. He goes over the class assignments with you during lecture, so if you're there or watch the lecture after, ez points. if you don't do well on homework assignments, the group project makes up for it. GET A GOOD GROUP. Final is automated grading, so do with that what you will."
Brian Parra,"Brian was such a great professor. Constantly giving feedback and always available for any questions or assistance. The course consisted of Weekly online meetings, 2 Homework assignments, 1 Final, 1 Group project. Pay attention in class, follow directions and you will easily pass."
Brian Parra,"Great professor, he very chill and understanding. While his lectures were a bit heavy, he would always do demos on the classwork and even go over the homework answers (after they are due). You turn in HW through GitHub which is auto graded, one exam, and a final group project. If you follow along and do the HW you should do fine."
Brian Parra,"Most reviews are true. His lecture very clear. The class not as hard but the homework might be challenge. He answer questions very details. Push code to gitHub and as long as you get the green check, you got full credit. Same as the homework assignments. Will take his other class in the future!"
Brian Parra,"He is a great and kind professor. pushing the code to Git Hub every lecture is the participation score: 2H.W., 1 group project, and one final. Homework 1 was tough but you have a month to learn all you need and do it. homework 2 builds on H.w1 and the final project is similar to homework 2. Overall, put in the work and you will be fine."
Brian Parra,"You follow his lectures by copying the code he writes and submitting on GitHub, he also does review on stuff a week before homework is due. Two ""big"" homework assignments, given a month in advance, maybe he pushes back the due date. Final project is combination of homework and lectures. Felt disorganized but as long as you're on point it's an A."
Brian Parra,"He takes attendance by having you turn in classwork for every lecture. He is lecture heavy but very thorough. He will spend extra time on harder topics or if you ask questions. There's two solo projects and one group project, plus a final. He's very clear about his grading criteria, and he gave my entire class extra credit."
Brian Parra,DON'T LISTEN TO THE OTHER REVIEWS. This class is really hard and the professor didn't make it any easier. the group project is unreasonable and the course it so time consuming. even tho it's online you will end up spending more time than you would with in-person class.
Brian Parra,"Good professor, he is chill and easy going. He is very patience and explain every part. His homework might be a little difficult, but once you get it, it is easy. His final project is not bad at all, you should have a easy course with him."
Brian Parra,"It was a hard course. Even though he gave us like a month to finish 1 hw assignment, it was still really difficult to keep up with the class. I def learned a lot from his class, but if you team up with crappy teammates for final project, you're basically on your own for a full-stack project. He gave out a lot of hints though."
Briana Avila,Briana was an absolutely amazing teacher! I am not too good with speeches but the class went by quite smoothly because of how clear all of the assignments were. I would definitely take the class again.
Briana Avila,"She is very helpful. Her class is always fun. Participation matters the most. Constant engaging is very important. Questions of the day, attendance part is so fun. Very clear grading, gives good feedback. I definitely recommend to take her class. Easy A."
Briana Avila,Best Comm Professor ever
Briana Avila,"Briana is a great teacher! She really cares about her students, treats them like friends and really tries to know ever single one, and really creates a great learning environment! There is some reading, a few worksheets, but the only hard work is working on speeches, which she gives lots of help with. Def. go to class, her lectures are worth it!"
Briana Avila,Brianna is a bad ass professor. She has awesome hair and really cares about her students. Definitely take this class with her.
Briana Avila,"Super nice and considerate of students. The teacher has fun happy energy. If want an easy A take this class. But do not miss any classes because attendence is a part of your grade. If you miss a class you must tell her asap otherwise she will not let you makeup for the work. Overall, I recommend ."
Briana Avila,Expect no homework/classwork. Only actual work you do is to write your short speeches. Easy A :)
Daniel Tomasevich,"homework 15%, 2 midterms are 20% each, final is 45%. He reads off slides that he has forever and first day just jumps in material. Majority of the class was not passing, if you have trouble with taking test this might not be the best teacher to take. Teacher looks half sleep trying to teach the class behind his tablet. Not enthusiastic."
Daniel Tomasevich,"Just be prepared to write long 5-10 page essays, not bad he gives you a lot of time to write them 3 essays total. The attendance isn't mandatory but do show up for the first three weeks of class so he doesn't drop you. There are quizzes that are short answer questions but there really is no wrong or right answer just justify why you chose it."
Daniel Tomasevich,Not a really preferred professor. Definitely easy to get an A but lectures are boring.
Daniel Tomasevich,"Idk how anyone can hate him. The assignments are easy, attendance is optional as long as you show up to a few classes and participate in discussions, and he is actually a really chill guy. This class is an easy A and the professor is really smart and caring."
Daniel Tomasevich,They just be letting anyone teach nowadays.. easy professor tho nothing really going on in class
Daniel Tomasevich,"Lectures are just reading handwritten notes on a projector and some confusing examples. Almost weekly homework's but they are only 15%, the rest of your grade is two midterms (40%) and a final (45%). Only 3-5 people showed up to lecture because the notes that are almost the entirety of the lecture are on canvas. Help yourself, take someone else!"
Daniel Tomasevich,I do not know how the university allows him to keep teaching. He should be enjoying retirement. Every lecture I was afraid he'd have a heart attack.
Daniel Tomasevich,"Professor is a nice guy yet he doesn't really teach well in my opinion. From day one he instantly jumps into the material with no explanation of what anything means, he instantly starts teaching as if we've already been learning discrete math structures and provides little help when questions are asked. Not a lot of homework, tests are in person."
Daniel Tomasevich,Very boring class and lecture. Literally reads off a manuscript and then expects people to want to be interactive. Seemed nice though. Class was super easy. Stopped attending after 2 weeks because who wants to go to class at 7am to listen to someone read off a paper for an hour. Easy quizzes and easy papers. Just requires some time and effort.
Daniel Tomasevich,"After a few weeks, he told us to close our laptops since we didn't need them and just had to sit there and listen. So I stopped attending. 4 quizzes where you choose a side and explain, no right or wrong answer. 2 4-page papers, and a 10-page final paper. As long as you follow ALL the instructions, you should get a good grade."
Dragutin Petkovic,"The professor is very enthusiastic and passionate about the topics he discusses, the more questions asked the more entertaining of a lecture. Always sharing related articles so we are up to date. As a cs student the rf assignment was ok but don't procrastinate incase you have questions. Not sure how non cs people felt about."
Dragutin Petkovic,Spring 2023 Entire class is based on group project & 1 multiple choice final. Groups are chosen by prof. It is fullstack project with either python/react with mysql. lecture was good went over lots of swe concepts. He grades based on milestones and number of github commits. Should really change the policy people commit unnecessary code to github.
Dragutin Petkovic,"I really enjoyed the mock-tech company experience. Professor Petkovic really cared a lot. We had a teammate who wasn't pulling his weight which made it a bit harder for the rest of us, make sure you know the people you pick for this class. Make sure to study for the final."
Dragutin Petkovic,"The most humble and smart Professor in the department! He has worked at huge tech companies and does research at Stanford, but still wants to make sure every student does well and enjoys and learns the software development life cycle. Semester long project to make a webapp. He doesn't care what languages you use, and loves growing the idea with you"
Dragutin Petkovic,"Professor Petkovic is the best in the department and one of the best in the university! He gives 1 small homework, the final, and a group project! He makes you truly get better about good user experience and quality assurence and you be ready for industry after taking him! He responds fast to emails and gives a lot of extra credit!"
Dragutin Petkovic,Has worked in industry. Really cares.
Dragutin Petkovic,He's hilarious and cover good topics of SW and HCI in general. But a good professor? NO. Why? Because putting in a random group with freeloaders who just sit and still receive grades put pressure on others who actually contribute. And what Petkovic response is &quot;resolve with team first before bring up to me&quot;. What type of SW Management is that??????
Dragutin Petkovic,"The prof. was fine, but don't expect him to teach you coding. What really hurt the most was teaming up with people who don't want to participate and do the work. Just can't believe some cs seniors have no sense of responsibility whatsoever even though they are almost graduating. Having freeloaders in a team is just a BAD experience overall."
Dragutin Petkovic,He is assigns a lot. There's a lot of work of to do in your group. He assumes because you're in a group that it will be easy and grade harshly on it. Only take if there's no other.
Dragutin Petkovic,"Great professor when it comes to giving you an idea of what a real software development environment will feel like working when working at a company. Consisted of semester-long project of developing a website with a team of 6-7 people as well as a final exam. That's it. Just show up to lecture and sit back, relax, and enjoy the show."
Duc Ta,"Can't wait to take the next 2 courses with Professor Ta! The only professor who is always positive and productive, even during this sad time at State U, despite continued destructive budget cuts and historic admission declines. His courses are still the best. He works super hard. He has a HUGE heart for his students, and he is a gifted educator."
Duc Ta,"Work hard, and you will find this professor the best. He cares that you learn and be ready for the demands in the workplace. Always start assignments early and pay attention during lecture. You will enjoy his teaching thoroughly. He is a natural and genuine educator. His materials are enormously useful."
Duc Ta,"Uses examples with mickey mouse. Idk what to tell you. its fun. Joke aside, he goes greatly in depth about things that other professors will just gloss over. Stuff professors would allocate 1 week to he does 2. He wants to make sure you actually understand how something works instead of just telling you how to use it."
Duc Ta,He is the best computer science professor in SFSU. He gives you a lot of opportunities to boost your grade during the semester. His explanations are very clear.
Duc Ta,He is the best professors I have ever taken in my life. He teaches really well and gives you a lot of opportunities to boost your grade.
Duc Ta,The best educator in the entire history of education! TAKE HIM!!!
Duc Ta,"Funny guy, good at making lectures engaging. Great at explaining concepts in depth. For homework, though, ALWAYS start early. You will be crying if you don't. For 220, he scares you with a huge first assignment to weed out quitters. He ensures that he always goes at a pace that the whole class is comfortable with and will answer any questions."
Duc Ta,My man. He makes learning so fun and effective. He is definitely the best.
Duc Ta,Extremely lucky to have had him for my last 3 courses. I do not believe I will find a better professor than Professor Ta in my life. Extremely grateful. He is a gifted educator who works hard and loves his students. He genuinely cares and possesses endless patience. He is a gem at SFSU.
Duc Ta,"Professor Ta designed his courses thoroughly and properly. He makes proper adjustments along the way. This takes hard work, passion, experience, and a big heart. Not to mention his natural outstanding ability to teach so effectively, which by itself alone already sets him superior to any other professors at State U. Hats off."
Henry Villar,"He was disrespectful to me once and that's not something I ever tolerate. I confronted him about it and everything was cleared up, but he needs to watch his tone and attitude."
Henry Villar,Great Professor and inspiring person
Henry Villar,"There will be 5 millstones for the group project, make sure to catch up, or else your group will be left behind. He is always available to answer your question and regrade, so keep trying to get your project become better. Presentation by the end of semester is very important, make sure all of your group members show up and perform well!"
Henry Villar,"Very nice and understanding professor, but his zoom lecture is a bit boring."
Henry Villar,"Nice professor overall, he is very understanding and helpful. You will be assigned in a team of 6 people and working on 1 project for the whole semester."
Hui Yang,The professor is unorganized in her lecture material; it is impossible to apply what is taught in class to your homework or tests. The textbook is $95 and will probably get more expensive. She posts no reviews or mock exams for you to practice for upcoming tests.
Hui Yang,"Lectures are not related to course content. Test materials are not covered in class, but only in the following homework assignment. Tests cover obscure syntax and badly worded questions, and the highest test grade rarely exceeds 80%, average test grade is less than 70%. Expensive zyBooks subscription required."
Hui Yang,wort professor i have ever seen in my carrer
Hui Yang,"She knows the subject well, but that doesn't mean she's a good at teaching it. She speaks like were on the same intellectual level as her about C++. Just make sure to do ALL the assignments on ZyBooks and you will be fine. Quiz, midterm and final are worth a low percent. The assignments are worth like 50%. She at least lets you use GitHub Copilot"
Hui Yang,do not recommend
Hui Yang,"Her classes are really boring because she keeps talking to herself about anything and everything. And after all this, she has a WRITTEN CODING exam!! ALSO she made us pay $89 for zybooks (online reading assignments that we'd have 2 weeks to do with tons of in-built assignments). Overall, do not recommend this professor"
Hui Yang,Her projects are really hard and she created it those herself and half the time she doesn't even know how we coded it either. She takes 3-4 weeks to tell us how to use AI and then tells us not to use it for our assignments.
Hui Yang,Hui Yang is the worst professor that we have taken so far. She is very set in her ways and will not be flexible with anything including deadlines. .
Hui Yang,"Lectures don't correlate with class or assignments most of the time. Uses Zybooks online text for reading assignments and labs with a poor autograder where you don't get points if you get one thing incorrectly. No extensions, no late work, and extremely hard to reach outside of class. 9 reading hws, 6 labs, 3 group projects, and occasional quizzes."
Hui Yang,provided little to no clear instruction on what to expect on assignments that were outside of zybooks($89 sub that rarely ties into lectures). Her grading is inconsistent when brought up little to no dialogue is had. It is ironic she gives us a survey but does not listen to the fact most of us agree her instructions are unclear and rushed
Ilmi Yoon,"Very passionate about Computer Graphics, their applications, and the industry. Nice person all around and helpful. However, lectures feel dull, tangents aren't uncommon, assignment windows are small (as in, 5 hours before it's due). Overall, good person but not so great teacher, you're better learning OpenGL on your own."
Ilmi Yoon,she does not teach no preparation for lecture no idea what she is talking about acts like she cares but doubtful no actions learned nothing from her but time wasting
Ilmi Yoon,Ilmi was amazing at CSCXXX and awful at other topics. Bad luck to take her and James Wong for foundation courses. They taught nothing. James was somewhat better than Ilimi to be fair. They ended computer science for me before it even started. Stay away from IImi.
Ilmi Yoon,She always claims she cares so deeply about her students but frequently her style of teaching is her way or the high way. She is not understanding if you miss quizzes or deadlines in general. Her TA's do most of the grading anyways so it's a luck of draw how you'll do that semester.
Ilmi Yoon,"More interested in teaching/testing you on how a computer renders graphics than teaching you what you need to learn to make games. That you'll learn on your own. Multiple tests with math problems about how pixels are rendered--sorry but that is graphics, not game design. Also gave us math problems on quizzes that she never walked through completely"
Ilmi Yoon,Doubtful she ever prepares for lectures. Disgusting she regularly demands acknowledgement.
Ilmi Yoon,Ilmi is increasingly inappropriate and irrelevant.
Ilmi Yoon,"The most disorganized teacher I have ever had. In my opinion quite often did not know what she was talking about. Unclear instructions for multiple assignments. This wasn't just me, most of the people I knew in the class were annoyed by her coursework being so haphazard and disorganized. Didn't teach much, mostly surface level stuff."
Ilmi Yoon,Overall - a good experience. She sometimes assumes the students know a certain topic and goes over it quickly - It's important to interject and ask her to elaborate at these junctures. She's a good explainer though. Needs to be a bit more organized. Cares about students doing well.
Ilmi Yoon,"They say it's an intro class but it's VERY HARD. 1 month in, she's ZOOMING through topics. You have 1 project due every week and 2 lectures for it. I can BARELY understand her during lectures. Midterm, quizzes, projects are badly phrased. We barely used the book. I got an A cause I went to tutoring. If you're fresh to coding, don't take her!"
Hyo Song,"Professor Song is amazing and cares deeply about her students. For 648 the group project, she always checks in every week and provides helpful feedback. She is also incredibly talented and respected.Highly recommend"
Hyo Song,"Probably the sweetest and kindest professor at SFSU. Professor Song is extremely knowledgeable as there's almost no question she cannot answer or assist with about software engineering. She cares so much about her students and their learning experience, giving you all the resources to succeed in this class. Take her if you can!!!"
Hyo Song,"648 is based entirely on one group project, with Professor Song acting as a manager for each group. She is extremely helpful and kind to students who are struggling or ask for help. She provides lots of resources for students and makes sure that each member does their part. She DOES hold lazy students accountable."
Hyo Song,"Took her for 648. Entire course is a semester-long group project with the weekly lecture to guide development. You better work with your team or else you're not passing, and you have to TRY to fail because she's VERY generous. As long as you're putting in effort, you're passing the class"
Hyo Song,"Very easy class. However if you are stuck with incompetent teammates then good luck because this class requires a lot of independent research. She does enforce people to participate otherwise you are getting a 0 for your final project, which is 70% of your grade. She gives extra credit by you showing up for class on time. Total of 7%!"
Hyo Song,"Hard to understand, instead of her explaining topics she will have a student answer a question and reward them by having them teach lecture. Provides little to no help outside of class, reads off powerpoints. If you take her class be prepared to teach yourself."
Hyo Song,"Horrible. Absolutely horrible. For one, you can't understand her most of the time. Two, she has her TA do the grading. Since he's a student, he'll deduct full points for any error he finds. Three, she doesn't teach with heart but rather like it's a workout, as in she repeats the topic but doesn't say it any more clearly, giving a &quot;phew&quot; in the end."
Hyo Song,So Ez
James Wong,"Professor Wong is spot-on with the power points. But when it comes to programming projects, it starts out pretty easy, as the semester goes on, it will begin to get harder. In terms of tests/quizzes, 1-2 quizzes and 2 tests (midterm and final exam). A Discussion Leader attendance is important for this class."
James Wong,"His teaching is just reading off powerpoints. Around 5 or 6 assignments, 2 midterms, and a final. The first few assignments are okay but it gets difficult later on. His midterms and finals are long and hard and he doesn't give enough time to take them. Don't take him if you don't know Java. If you do know Java, you should be able to pass."
James Wong,"Professor Wong's class was nicely organized, as it pretty much just followed the syllabus. Assignments are clear and are easy if you just follow along with the lectures. Lectures are a bit boring/Prof. Wong just reads off power points."
James Wong,If this is your first time coding you'll struggle no matter what but James Wong lets you turn in assignments late the first half of the semester and really emphasizes learning how to code instead of focusing on your grade. Pretty good teacher.
James Wong,"He knows the material and his tests are very straightforward. His lectures do end up getting really boring after 20 minutes. I had relearn the material outside of class. His homework wouldn't make sense unless you know the material. Unless you are good at teaching yourself, I do not recommend this instructor."
James Wong,"Knowledgeable and nice professor with generous grading scale. He got some accent, but you will get use to it. He has an easy grading criteria. Attendance is free 10%, he dropped 2 lowest homework/quiz, gives partial credits on tests, willing to curve if average is below 75%, you can do 5% extra credits report, and final is pretty straightforward."
James Wong,"Professor Wong is clearly knowledgeable about algos and is fairly lenient when it comes to grades. His accent is heavy/lectures can be confusing because of course content. There are 2 exams, 6 hw, 1 coding assignment, participation, final, and extra credit report. Keep up with the hw/lectures and exams will be super easy."
James Wong,"His lectures are boring / will confuse you bc accent is thick. Since its a CS class just go on your laptop and read the textbook on the topic youre on so you dont get too far behind. The textbook saved me and if you just rely on it, you can breeze through. Projects (35%) No Hw. Attend (5%) final (35%) midterm (35%)"
James Wong,"He knows his material and is passionate about it. Sometimes his accent makes things difficult to understand, but other than that he's fine. The class is taught in Java and the projects are in Java. If your code doesn't work, still turn it in for partial credit."
James Wong,"Professor Wong lectures a bit fast with a slight accent that is very understandable. However, he has a clear grading criteria with 4 moderately difficult projects, 1 midterm, and the final. The class is graded on a curve and he would offer extra credit on projects from time to time."
Jingyi Wang,"Not an overall bad teacher the course material just seems to be inconsistent, my second time taking this class and the last professor did not touch on a lot of what is mentioned here. Grading criteria is sometimes vague and worst of all we cannot see what grades we have throughout the semester, they are all hidden on canvas."
Jingyi Wang,She is the best. Her lectures are clear. She is kind. Knowledgeable in her field. Helpful. I would take her again.
Jingyi Wang,"CSC652 Spring 2023 Easy elective , learned about cipher and encryption. Small amount of math in this class not really heavy if you passed linear algebra. HW is based on lecture, 1 midterm exam open notes and almost the same as sample, 1 final project 3 page essay on an encryption of your choice or research paper. Attendance taken only a few times."
Jingyi Wang,"Professor is extremely hard to reach so if you need anything from her good luck. The class is based on 100 points total so homework is essential. If you miss one class, you may as well just not show up again. Teaches extremely fast and hard to understand at times because we do not get even a minute to process what was just taught."
Jingyi Wang,"She aightttt, she needs to slow it down when going over assembly programming. She really rushes sometimes but she still cool. Make sure you pay attention often that's all you should be fine."
Jingyi Wang,12 HW assignments 1 midterm based on those 12HW assignments The final is a 10 to 15 minute presentation based on a research paper that you can choose from when she gives out the files You can use the final presentation to fulfill the Senior Presentation requirements The HW is easy since the lecture vids and slides cover exact same problems
Jingyi Wang,"The class she advertised was &quot;Cyber Security&quot; - it ended up being a class about End-To-End Encryption (Cryptography). The emails sent out for this class were about Server Side, Client Side attacks and network protection. Don't get me wrong, cryptography is a great subject. It just was not the class I signed up for. Advertise correctly please."
Jingyi Wang,She's an okay professor. She knows her material but sometime is not clear on the lecture. Her assignments are good and is always available if you need help. A way to understand her lecture is to keep up with the assignments she posts. Don't think this will be easy. You will have to put some effort.
Jingyi Wang,She is a great professor and is very straight forward with her lectures. She likes students coming to her office hours. She will have a lot of assignments which goes really well with her lecture. Always encourages students to collaborate on her iLearn chat. She does give extra credit to the first student who answers the question on her bonus chat.
Jingyi Wang,"I think she is a very wonderful professor and she cares her students a lot. I just wished I attended more but alas time constraints. Her lectures might bore you but it would be wiser to just listen because they are important. Her reviews sort of help for the quizzes, midterm and finals but she is very helpful in office hours. Take her if you can!"
John Roberts,"He's not a bad person, but not the best choice if you're not already decently good a programming. He teach like he thinks everyone can get it in first try, and can immediately put it to practice. Not for me, but plenty others like him and I can see why."
John Roberts,The professor is a chill person. He just doesn't teach that well. He can be snarky and a bit rude at times when you ask him a question. Responds inconsistently on Discord. Assignments often had tons of issues that weren't resolved until near the end but then would blame us for starting the assignments late. That's the kind of hypocrisy you'll have.
John Roberts,Professor Roberts is a great professor and he will challenge you which is something that I loved about his course because you will learn a lot if you put the work in. He does give a lot of time for his assignments and often gives extensions IF people ask questions and are trying to learn.
John Roberts,"Imagine learning new material without any context or foundation. No reviews, just straight up new content from hws. Long hws would've been acceptable if he knew how to teach, but no, his class does not respect your time and effort at all."
